npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:3000
 HTTP  3/11/2026 11:52:46 AM ::1 GET /study
 HTTP  3/11/2026 11:52:46 AM ::1 Returned 200 in 22 ms
 HTTP  3/11/2026 11:52:46 AM ::1 GET /_next/static/media/e4af272ccee01ff0-s.p.woff2
 HTTP  3/11/2026 11:52:46 AM ::1 GET /_next/static/css/4e86b6a1d4d4604f.css
 HTTP  3/11/2026 11:52:46 AM ::1 Returned 200 in 4 ms
 HTTP  3/11/2026 11:52:46 AM ::1 Returned 200 in 4 ms
 HTTP  3/11/2026 11:52:46 AM ::1 GET /_next/static/chunks/webpack-af13012ad25a25bf.js
 HTTP  3/11/2026 11:52:46 AM ::1 Returned 200 in 2 ms
 HTTP  3/11/2026 11:52:46 AM ::1 GET /_next/static/chunks/fd9d1056-17ce1eb79d6b0ab3.js
 HTTP  3/11/2026 11:52:46 AM ::1 GET /_next/static/chunks/117-1ffd3ce1b64d312f.js
 HTTP  3/11/2026 11:52:46 AM ::1 GET /_next/static/chunks/main-app-8bef8cff44a60276.js
 HTTP  3/11/2026 11:52:46 AM ::1 GET /_next/static/chunks/436-7bd1053065d09898.js
 HTTP  3/11/2026 11:52:46 AM ::1 GET /_next/static/chunks/111-ff0bad6f804875af.js
 HTTP  3/11/2026 11:52:46 AM ::1 GET /_next/static/chunks/380-6c76ddce7c66cf28.js
 HTTP  3/11/2026 11:52:46 AM ::1 Returned 200 in 6 ms
 HTTP  3/11/2026 11:52:46 AM ::1 Returned 200 in 7 ms
 HTTP  3/11/2026 11:52:46 AM ::1 Returned 200 in 11 ms
 HTTP  3/11/2026 11:52:46 AM ::1 Returned 200 in 10 ms
 HTTP  3/11/2026 11:52:46 AM ::1 Returned 200 in 8 ms
 HTTP  3/11/2026 11:52:46 AM ::1 Returned 200 in 16 ms
 HTTP  3/11/2026 11:52:46 AM ::1 GET /_next/static/chunks/150-87ee656637837175.js
 HTTP  3/11/2026 11:52:46 AM ::1 GET /_next/static/chunks/app/study/page-1d1e7b4acbc01313.js
 HTTP  3/11/2026 11:52:46 AM ::1 Returned 200 in 8 ms
 HTTP  3/11/2026 11:52:46 AM ::1 Returned 200 in 6 ms
 HTTP  3/11/2026 11:52:46 AM ::1 GET /_next/static/chunks/app/layout-ad7bba30a3b0054c.js
 HTTP  3/11/2026 11:52:46 AM ::1 Returned 200 in 4 ms
 HTTP  3/11/2026 11:52:47 AM ::1 GET /index.txt?_rsc=1x8hl
 HTTP  3/11/2026 11:52:47 AM ::1 GET /library/index.txt?_rsc=1x8hl
 HTTP  3/11/2026 11:52:47 AM ::1 GET /courses/index.txt?_rsc=1x8hl
 HTTP  3/11/2026 11:52:47 AM ::1 GET /knowledge/index.txt?_rsc=1x8hl
